file_containing_regex;line_beginning;line_ending;type_found;datetime_of_scan
Bonds_select.txt;7;7;re.compile('(?i)SELECT\\s*\\*', re.IGNORECASE);2022-03-28 19:47
Curve_decode.txt;7;7;re.compile('(?i)SELECT\\s*\\*', re.IGNORECASE);2022-03-28 19:47
